CONTAINER           IMAGE                                                                                                                                CREATED             STATE               NAME                       ATTEMPT             POD ID              POD
89a5bee1ab6ce       feec7a48f9b4ee08dafe4ccda72cea4720e66d11501dc06aafe73add94e6b68f                                                                     2 days ago          Running             voucher                    2                   dc73d8e84e5c6       voucher-jnpfr
ddcbf4e516719       424033d87c8b400b04a4b7ecb88cb6734c948b0eb9a25b8d3abc244f8f3de977                                                                     2 days ago          Running             kube-scheduler             2                   ebe5a0e674979       kube-scheduler-f5-xc-ce-vm-01
21f21c6515076       4a3d6f1d6a03f5f4b313c191a918608eff705b10412d792d147a27942f98522f                                                                     2 days ago          Running             kube-controller-manager    1                   1b2aa5ef37f16       kube-controller-manager-f5-xc-ce-vm-01
4d6fef13bcdc7       541c3c4ceb6171377a2d3fa75d7a39bbe07133e78b50d86a26a663076f8af5d1                                                                     2 days ago          Running             etcd                       0                   b11a81c830705       etcd-0
2f4bbf8473df8       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   b11a81c830705       etcd-0
802349921e438       gcr.download.volterra.io/volterraio/prometheus-ce@sha256:f6c8c2715279c389a3ab87ae62025b02d86d1fca31be7f508381b44feb0eb47b            2 days ago          Running             prometheus                 0                   5f65c932e4aee       prometheus-569f6c8678-5cmnn
cb4c15e98d19c       gcr.download.volterra.io/volterraio/prometheus-watch@sha256:1ad1149aef0ee2ce50879b9a882cd1bfb6d75174bcae57948c07a63d0f0d379f         2 days ago          Running             watch                      0                   5f65c932e4aee       prometheus-569f6c8678-5cmnn
3e4ed7f5f1eef       gcr.download.volterra.io/volterraio/prometheus-pushgateway@sha256:9e7d635a1799e71a877bd7144fd91d70a1de0553d255c493cc2da726ad232bd1   2 days ago          Running             pushgateway                0                   5f65c932e4aee       prometheus-569f6c8678-5cmnn
509ee9b484241       gcr.download.volterra.io/volterraio/ganges@sha256:3b801fe07ab0c8020a1bced7300622ac64fe44f722a34c2cea8b4aae7e83fa43                   2 days ago          Running             ganges                     0                   594441d2099ea       ganges-65cf9655cf-nzvd2
7ee280c400c80       gcr.download.volterra.io/volterraio/dymo@sha256:8278403600e6dfb8e80346577ee35c521ec52606055a46b5374e641bd017cc3f                     2 days ago          Running             dymo                       0                   5f65c932e4aee       prometheus-569f6c8678-5cmnn
af1762dafb948       gcr.download.volterra.io/volterraio/node-exporter@sha256:ca1131f119da5905cea2c4cbef027149d1ca83ff858417ecbcf14ee448b48265            2 days ago          Running             prometheus-node-exporter   0                   1551f831dbfc7       prometheus-node-exporter-92qxx
282da30ef3b97       gcr.download.volterra.io/volterraio/hellas@sha256:e5edbf3a47aa6f88f03dc897b622f7e4c98b41961d54f3689dbd6129f028ae5f                   2 days ago          Running             hellas                     0                   e51223ba04c08       hellas-5ff68d4799-xvr46
0641e156f31cd       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   44a5168fd797e       event-exporter-cdc5d7774-7nskm
af32201f6127a       gcr.download.volterra.io/volterraio/event-exporter@sha256:faf05e07a3ba9e433f3f42a13322e1395ab9a8a7a9867aca8e4f3b8ade3ab867           2 days ago          Running             event-exporter             0                   44a5168fd797e       event-exporter-cdc5d7774-7nskm
b6533b0d91a62       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   26cd24dbad423       dnsmasq-74cf69fff9-s4hvj
f0bf07fb1bef6       216d0da57afaff3debef99dc3756ae7f003aa6a22be26d436064ac0529cb61e7                                                                     2 days ago          Running             dnsmasq                    0                   26cd24dbad423       dnsmasq-74cf69fff9-s4hvj
c85ddc8887aa8       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   594441d2099ea       ganges-65cf9655cf-nzvd2
3d75c0cbdf808       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   5f65c932e4aee       prometheus-569f6c8678-5cmnn
4bd900d201458       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   1551f831dbfc7       prometheus-node-exporter-92qxx
4f2ce7a91cd66       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   e51223ba04c08       hellas-5ff68d4799-xvr46
48de1ae67b804       9f1ee8789ed17a872ca78eda87467293d0f0b65859684d308ca64faed1e45b75                                                                     2 days ago          Running             clank                      0                   6af2b65662886       clank-mdkk2
467cb57e068af       gcr.download.volterra.io/volterraio/kube-state-metrics@sha256:c6c19faa2f7e4d4c4f79393c23ef69bfceb95444168e6b1431163b7ebba4e3bd       2 days ago          Running             kube-state-metrics         0                   31db38c17f791       kube-state-metrics-575cc45974-pjn2b
17dcfc40f4c8e       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   6af2b65662886       clank-mdkk2
b138faf34617d       afe3292c951b29b9fd4da73faa1b1c6a0f8e886620083edd53083bfca66cd767                                                                     2 days ago          Running             keepalived                 0                   482408724e5bd       keepalived-wtkzg
4981d0248acf9       4513f267cbc4bdeb2a63d87dbf9ac488d6c49d61656a78a23293b697e328fa54                                                                     2 days ago          Running             kube-multus                0                   c14028e7a4122       kube-multus-ds-jz95g
6d3fa9a0a99f4       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   482408724e5bd       keepalived-wtkzg
dcaf13010c07a       df6e88dbc464f6284a65529610d5d1d9f6c3825091118399272f186cf56c90bf                                                                     2 days ago          Running             pmtud                      0                   e010b6cc49513       pmtud-d556w
1b6f463a71722       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   e010b6cc49513       pmtud-d556w
e839124a99c56       e6d27ddd94e03ddd2a78085154cbec4488e65298d120cc1c2b734f2aeab65171                                                                     2 days ago          Running             bfd                        0                   a8a6f4701025a       frr-5mpp9
b75630974d21f       e6d27ddd94e03ddd2a78085154cbec4488e65298d120cc1c2b734f2aeab65171                                                                     2 days ago          Running             frr                        0                   a8a6f4701025a       frr-5mpp9
bc44e102327ca       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   a8a6f4701025a       frr-5mpp9
3d3f19b7ef195       aeff8daf250ed2e13b6d31397bea80ce7b51e6c8ace6528420ddd207a6f0c18d                                                                     2 days ago          Running             openvpn2                   0                   fd04282417965       openvpn-7q6xd
51677b9bfba35       aeff8daf250ed2e13b6d31397bea80ce7b51e6c8ace6528420ddd207a6f0c18d                                                                     2 days ago          Running             openvpn1                   0                   fd04282417965       openvpn-7q6xd
5a6c1bd0adcaa       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   fd04282417965       openvpn-7q6xd
a1b92a2f4bbb0       becee1f5084706fba62efa89fdd79b4136454f25bdba75c82c9aeb5437919c8f                                                                     2 days ago          Running             ike                        0                   875582935dd37       ike-6mg6n
860a9121643ff       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   875582935dd37       ike-6mg6n
dfa818a9053de       cab3d73eddcfe74c922ab75d4543f3c692d68ce6c21d687b8b3d49fcb1d0caa6                                                                     2 days ago          Running             envoy0                     0                   44f486b15d573       envoy-fv6x7
5058e61a737e9       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   44f486b15d573       envoy-fv6x7
cefe8f1ed1196       482cdc1fbb63dd9c4fa49e2162a6b6f1f9ec19188b6ef27c9a163b029ef434b8                                                                     2 days ago          Running             vega                       0                   0635fd40578ce       ver-4v8v2
a7e66d3af3fa1       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   0635fd40578ce       ver-4v8v2
01bbb95229f87       afec19150b53c2cb434822712d2ef6be5d3c291e44424c054dbf20cfca7f3a04                                                                     2 days ago          Running             vegacfgd                   1                   1f566873a269b       ver-7987c97c4d-8wmk4
69e06f089aad6       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   1f566873a269b       ver-7987c97c4d-8wmk4
17711d681fe4c       gcr.download.volterra.io/volterraio/komodo@sha256:1ccece7334553032af161135034c51ae00769fd492e8b115ed55f1aa9da6a39a                   2 days ago          Running             komodo                     0                   93ba0ac429d46       komodo-l2tj4
f4d9d29e6223e       94023eb4b4d6207b3849304915279f5a97a3b61ecb30d0af5a38669a90c2766e                                                                     2 days ago          Running             aspen                      0                   0747efbca5a57       aspen-jzq2k
d7175bfd9cbdd       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   0747efbca5a57       aspen-jzq2k
f9a67b19c5b7c       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   93ba0ac429d46       komodo-l2tj4
04a4bf7fb1d20       8a41012a9e9ac0b3cea51c7f60e85ad1ef5aa7c2bb349c6973a40a409f275241                                                                     2 days ago          Running             asaf                       0                   b13e80d7ff872       asaf-pnx8z
e9f245f810da1       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   b13e80d7ff872       asaf-pnx8z
7b30064d9d29b       1a5b4fbd67d9206c7047c15646be4ea664781d7db0954e2fb8c9bc04c053573a                                                                     2 days ago          Running             opera                      0                   5a485f0d4f45a       opera-bl89j
b2767b88efeb8       e1ba724251997288ce6aca4f6b2a7db19aa7bcb5faaa8db8e88cadb1c019564c                                                                     2 days ago          Running             wingman                    0                   5a485f0d4f45a       opera-bl89j
a5f4993d6d02f       gcr.download.volterra.io/volterraio/bdbewaf@sha256:5902cfce7f2b58fc4c74a7db81c27ed56c652f7d5171e3736e5db723bc12fc3c                  2 days ago          Running             bdbewaf                    0                   050d5cffb8450       bdbewaf-vfj2l
96bd935546561       gcr.download.volterra.io/volterraio/phobos@sha256:1c1639b9c9a5945598645b79060d69678057da548c4e03e606635f1c8da44622                   2 days ago          Running             phobos                     0                   92c93556b29c4       phobos1-765c79dbd4-52h8s
c2e64a765d004       2db8685da582c005c7ff3fb0f830d0af1951732897a7eefcc25e65da7cad9829                                                                     2 days ago          Running             gubernator                 1                   6a37bc439d06e       gubernator-f9c9d67b7-v5gpl
84a4f84052f2d       gcr.download.volterra.io/volterraio/webroot@sha256:2e41e26c5282d31cc097f0ac52f79ce1c511f382e64c673c87ea38ed15c19fd0                  2 days ago          Running             bctid                      0                   e0f3f0a6a6a97       webroot-pp75s
a09ca453507a2       gcr.download.volterra.io/volterraio/obelix@sha256:8b094800d7d51696dc51bad5d234aacc619055828cd0aba2a6f493b9445b9c2d                   2 days ago          Running             obelix                     0                   a993012eaf672       obelix-q6hgf
6cce46ca8eb4f       48e70c86f18931a1d5df024fdbb907b7bf21be727963023c349a1f10c4ce0acb                                                                     2 days ago          Running             coredns                    1                   1aa7eb0751caf       coredns-5cd48697d9-ndl9p
